imdb_title_id,writers
6327,"William C. de Mille, William C. de Mille"
6333,Jules Verne
6509,Roy Somerville
6517,C. Gardner Sullivan
6589,"Roy Somerville, Chester Withey"
6617,"A.V. Samsjö, Sam Ask"
6688,Robert M. Baker
6731,Bernard McConville
6736,Douglas Fairbanks
6745,Bernard McConville
6753,"Bret Harte, Anita Loos"
6780,"C. Gardner Sullivan, C. Gardner Sullivan"
6809,"John Emerson, Anita Loos"
6826,D.W. Griffith
6864,"D.W. Griffith, Anita Loos"
6886,"Arthur Bernède, Louis Feuillade"
7047,"Octavus Roy Cohen, John Emerson"
7183,"Alexander Pushkin, Fyodor Otsep"
7257,"Robert M. Baker, Roy Somerville"
7260,"C. Gardner Sullivan, C. Gardner Sullivan"
7309,"Hanns Kräly, Erich Schönfelder"
7338,"H.S. Sheldon, William Gillette"
7340,"Stella Wynne Herron, Jane Addams"
7361,"Winthrop Ames, Winthrop Ames"
7367,"John Emerson, Anita Loos"
7522,"Herman Bang, Axel Esbensen"
7558,"Lucy Payton, Franklyn Hall"
7610,"William Wallace Cook, Ruth Ann Baldwin"
7755,George Hively
7801,"Adrian Johnson, Émile Moreau"
7983,Robert Wiene
8011,"Frances Marion, Maurice Tourneur"
8100,"Sophus Michaëlis, Sophus Michaëlis"
8150,"Jeanie Macpherson, William C. de Mille"
8188,Jeanie Macpherson
8196,"Frances Hodgson Burnett, Frances Marion"
8279,Abel Gance
8309,"Allan Dwan, E.P. Lyle Jr."
8395,"Leo Tolstoy, Alexandre Volkoff"
8443,"Eleanor Gates, Frances Marion"
8489,"E.W. Hornung, Anthony Paul Kelly"
8499,"Frances Marion, Charlotte Thompson"
8519,"Cecil B. DeMille, Jeanie Macpherson"
8536,Olga Blazhevich
8634,George Hively
8652,"Charles Dickens, Frank Lloyd"
8663,Henrik Ibsen
8672,Gustaf Molander
8679,"Frances Marion, Mark Swan"
8687,"Mark Twain, Julia Crawford Ivers"
8710,"Ester Julin, Selma Lagerlöf"
8775,"Horace B. Carpenter, Anita Loos"
8827,"Frances Marion, Belle K. Maniates"
8843,"Mór Jókai, Ladislaus Vajda"
8854,"Hanns Kräly, Emil Rameau"
8879,"Victor Sjöström, Sam Ask"
8891,"Maurice Maeterlinck, Charles Maigne"
8930,"Ida May Park, W. Carey Wonderly"
8950,"Grete Diercks, Norbert Falk"
9014,Abel Gance
9062,Ernst Lubitsch
9086,"Mary Murillo, George Scarborough"
9150,"D.W. Griffith, D.W. Griffith"
9153,"John Ford, Harry Carey"
9241,"Rupert Hughes, Frances Marion"
9326,"Bret Harte, Frances Marion"
9356,"Hayden Talbot, Hayden Talbot"
9369,"Hampton Del Ruth, J.G. Hawks"
9440,"Jeanie Macpherson, David Graham Phillips"
9475,"Cyril Harcourt, Edith M. Kennedy"
9559,D.W. Griffith
9608,Charles T. Dazey
9611,Charles Chaplin
9652,"William J. Locke, Frances Marion"
9682,"Edgar Rice Burroughs, Fred Miller"
9701,Louis Feuillade
9737,Mary Raymond Shipman Andrews
9796,"Jeanie Macpherson, Perley Poore Sheehan"
9878,"Magnus Hirschfeld, Richard Oswald"
9892,"Aurora Mardiganian, Henry Leyford Gates"
9893,"Hanns Kräly, Ernst Lubitsch"
9894,"Juan Manuel Cabrera, Miguel Necoechea"
9900,"James Oliver Curwood, James Oliver Curwood"
9915,"Gouverneur Morris, Luther Reed"
9937,"Erich von Stroheim, Erich von Stroheim"
9968,"Thomas Burke, D.W. Griffith"
9976,"R. Cecil Smith, Earle Snell"
10040,"Jean Webster, Agnes Christine Johnston"
10060,"Harvey F. Thew, John B. Clymer"
10071,Jeanie Macpherson
10103,"Max Marcin, Albert Parker"
10137,"Jeanie Macpherson, Edgar Selwyn"
10162,"John Emerson, Anita Loos"
10193,"William Hale, Stanner E.V. Taylor"
10195,"Arthur B. Reeve, John Grey"
10208,"David Belasco, Max Jungk"
10219,"James B. Fagan, Walter Woods"
10227,"John Fox Jr., Bernard McConville"
10247,"Selma Lagerlöf, Gustaf Molander"
10267,"Julie Mathilde Lippmann, Bernard McConville"
10281,"Hanns Kräly, Ernst Lubitsch"
10298,"Selma Lagerlöf, Victor Sjöström"
10307,Abel Gance
10323,"Carl Mayer, Hans Janowitz"
10418,"Jeanie Macpherson, J.M. Barrie"
10456,"Hanns Kräly, Erich Schönfelder"
10466,"George M. Cohan, Robert Hobart Davis"
10484,"D.W. Griffith, D.W. Griffith"
10559,"Fritz Lang, Edgar Allan Poe"
10598,"Carl Theodor Dreyer, Karl Emil Franzos"
10600,"E.T.A. Hoffmann, Hanns Kräly"
10635,"Byron Morgan, Marion Fairfax"
10662,Stanner E.V. Taylor
10680,"C.J. Dennis, Raymond Longford"
10726,Fritz Lang
10755,"Tom Bret, Johannes Linnankoski"
10806,Marian Fremont
10821,"Anselma Heine, Robert Liebmann"
10844,"Joseph Conrad, Jules Furthman"
10853,"C. Gardner Sullivan, C. Gardner Sullivan"
10879,Thomas J. Geraghty
10890,"Evelyn Campbell, Harvey Gates"
10925,Mack Sennett
10953,"Hans Brennert, Friedel Köhne"
10962,"Norbert Falk, Hanns Kräly"
10964,"Adrian Johnson, Cynthia Stockley"
10969,"Pierre Benoît, Jacques Feyder"
11000,"Edgar Høyer, Marie Corelli"
11130,"Robert Louis Stevenson, Clara Beranger"
11157,"Ferenc Herczeg, Gustaf Molander"
11173,"Rasmus Breistein, Kristofer Janson"
11193,"Frances Marion, Frances Marion"
11217,"Harriet Bloch, Carl Mayer"
11221,Carl Mayer
11237,"Henrik Galeen, Paul Wegener"
11267,"Arthur 'Bugs' Baer, Earle Browne"
11294,"Henri Colpi, Gustave Grillet"
11302,"Marcel L'Herbier, Honoré de Balzac"
11317,"Fannie Hurst, Frances Marion"
11344,"Ellis Parker Butler, William Parker"
11358,"John McDermott, Paul Schofield"
11369,Ludwig Ganghofer
11370,"Franz Grillparzer, Victor Sjöström"
11371,"Hanns Kräly, Ernst Lubitsch"
11387,"James Fenimore Cooper, Robert Dillon"
11414,"John Emerson, Anita Loos"
11415,"D.W. Griffith, Ralph Stock"
11439,Johnston McCulley
11440,"Knut Hamsun, Gunnar Sommerfeldt"
11474,"Thomas J. Geraghty, Harold McGrath"
11513,"James Oliver Curwood, David Hartford"
11588,"Eleanor H. Porter, Catherine Chisholm Cushing"
11607,"Carl Theodor Dreyer, Kristofer Janson"
11623,"Robert W. Chambers, Frances Marion"
11641,"Hanns Kräly, Hanns Kräly"
11647,"Edmund Day, Tom Forman"
11652,"Bronson Howard, Victor Mapes"
11679,C. Gardner Sullivan
11716,Jeanie Macpherson
11723,Fritz Lang
11741,"Waldemar Young, Richard Bryce"
11742,"Friedrich Freksa, Hanns Kräly"
11753,"Arthur B. Reeve, John Grey"
11779,Lambert Hillyer
11833,"Herbert Juttke, Georg Kaiser"
11837,"Fritz Lang, Thea von Harbou"
11841,"Lottie Blair Parker, William A. Brady"
11865,"Olga Printzlau, William C. de Mille"
11870,Oscar Micheaux
11904,"Gouverneur Morris, Ruth Wightman"
11908,"Edgar Rice Burroughs, Robert F. Hill"
11909,"Arthur Schnitzler, Jeanie Macpherson"
11948,Max Linder
11960,"Hanns Kräly, Ernst Lubitsch"
11979,"Lois Weber, Marion Orth"
12016,"F. Britten Austin, George D. Baker"
12027,"Alexandre Dumas fils, June Mathis"
12068,"June Mathis, Honoré de Balzac"
12122,"Thomas Burke, D.W. Griffith"
12125,"Elmer Harris, Elmer Harris"
12134,Marcel L'Herbier
12136,"Frank R. Adams, Luther Reed"
12187,"Cecil B. DeMille, Jeanie Macpherson"
12190,"Vicente Blasco Ibáñez, June Mathis"
12249,"Erwin Gepard, Edward P. Vining"
12281,Carl Mayer
12313,"Thea von Harbou, Fritz Lang"
12314,"Thea von Harbou, Fritz Lang"
12334,"Juhani Aho, Mauritz Stiller"
12349,Charles Chaplin
12364,"Selma Lagerlöf, Victor Sjöström"
12382,"Walter Woods, Sarah Y. Mason"
12397,"Frances Hodgson Burnett, Bernard McConville"
12408,Frances Marion
12465,"Clara Beranger, Zona Gale"
12486,"Max Abramson, Shirley Vance Martin"
12494,"Fritz Lang, Thea von Harbou"
12513,"Kenneth Davenport, Douglas Fairbanks"
12532,"Adolphe d'Ennery, Eugène Cormon"
12538,"Gardner Bradford, Tod Browning"
12631,"Maxim Gorky, Wilhelm August Schmidtbonn"
12642,"Hal Roach, Sam Taylor"
12645,"Dimitri Buchowetzki, Alexandre Dumas"
12650,"Carl Mayer, Lupu Pick"
12651,"Rudolf Stratz, Carl Mayer"
12675,"Edith Maude Hull, Monte M. Katterjohn"
12699,"Ralph Connor, Faith Green"
12745,"André Antoine, Émile Zola"
12752,"Alexandre Dumas, Edward Knoblock"
12755,"Gerald C. Duffy, Marion Fairfax"
12763,"Joseph Hergesheimer, Edmund Goulding"
12769,"Lois Weber, Marion Orth"
12806,"Fritz Lang, Rolf E. Vanloo"
12928,"Sophie Kerr, Luther Reed"
12938,"Elinor Glyn, Jack Cunningham"
12952,"Vicente Blasco Ibáñez, Tom Cushing"
12973,"Willy Haas, Arthur Rosen"
12975,"Mildred Considine, Brian Oswald Donn-Byrne"
13033,"Jacques Feyder, Anatole France"
13059,"Holger Drachmann, Carl Theodor Dreyer"
13075,"Hal Roach, Sam Taylor"
13085,John L.E. Pell
13122,Louis Delluc
13134,"Louis D. Lighton, Louis D. Lighton"
13140,"Erich von Stroheim, Marian Ainslee"
13169,"Carl Theodor Dreyer, Aage Madelung"
13201,"Hal Roach, Sam Taylor"
13223,"Washington Irving, Carl Stearns Clancy"
13332,"R.D. Blackmore, Katherine S. Reed"
13367,"Harry Houdini, Coolidge Streeter"
13372,"Jeanie Macpherson, Alice Duer Miller"
13386,"Finis Fox, Harvey Gates"
13402,"Alexandre Dumas, Bernard McConville"
13404,"Monte M. Katterjohn, Frank Norris"
13428,"Gotthold Ephraim Lessing, Hans Kyser"
13442,"Henrik Galeen, Bram Stoker"
13450,"Charles Dickens, Frank Lloyd"
13469,"Dimitri Buchowetzki, Karl Mueller-Hagens"
13496,"Gerhart Hauptmann, Thea von Harbou"
13515,"Anthony Hope, Mary O'Hara"
13556,Douglas Fairbanks
13571,"Oscar Wilde, Alla Nazimova"
13574,"Jeanie Macpherson, Jeanie Macpherson"
13579,"Arthur Robison, Rudolf Schneider"
13590,"Porter Emerson Browne, Edmund Goulding"
13592,"Wilbur Daniel Steele, Eve Unsell"
13597,"Earle Browne, Arthur Conan Doyle"
13607,"Lynn Reynolds, Lynn Reynolds"
13619,"Michael Curtiz, Ladislaus Vajda"
13662,"Grace Miller White, E. Lloyd Sheldon"
13674,"Alexandre Dumas, Max Linder"
13688,Frances Marion
13704,"Lon Chaney, Lucien Hubbard"
13705,"Winifred Graham, Frank Miller"
13741,"Norbert Falk, Hanns Kräly"
13750,"William LeBaron, Charles Major"
13802,"Alethea Luce, John Ames Mitchell"
13830,"Heinrich Laube, Paul Reno"
13909,"Robert N. Lee, Booth Tarkington"
13933,"Jean Epstein, Marie Epstein"
13951,"Emerson Hough, Jack Cunningham"
14029,"Bernard McConville, Mack Sennett"
14108,"Selma Lagerlöf, Mauritz Stiller"
14109,"Ragnar Hyltén-Cavallius, Selma Lagerlöf"
14112,
14142,"Victor Hugo, Perley Poore Sheehan"
14205,"Rida Johnson Young, Luther Reed"
14341,"Jean C. Havez, Clyde Bruckman"
14358,Charles Chaplin
14397,"Fyodor Dostoevsky, Robert Wiene"
14416,"Philippe Dumanoir, Norbert Falk"
14417,Abel Gance
14429,"Hal Roach, Sam Taylor"
14440,"Rafael Sabatini, Willis Goldbeck"
14446,"Rudolph Hans Bartsch, Willy Hennings"
14463,"Charles Kenyon, William Dudley Pelley"
14497,"Rupert Hughes, Rupert Hughes"
14516,"Karl Grune, Carl Mayer"
14524,Carl Mayer
14532,Jeanie Macpherson
14538,"Clyde Bruckman, Joseph A. Mitchell"
14586,Henrik Galeen
14604,D.W. Griffith
14605,"Francis Marion Crawford, George V. Hobart"
14606,"Tod Browning, Tod Browning"
14611,"Sam Taylor, Ted Wilde"
14624,Charles Chaplin
14636,"Pierre Berton, Albert S. Le Vino"
14646,"Aleksei Fajko, Fyodor Otsep"
14672,"Robert W. Chambers, Robert W. Chambers"
14702,"Clyde Fitch, Dorothy Farnum"
14721,"Gertrude Atherton, Frank Lloyd"
14760,"John Grey, Laura E. Richards"
14770,Lewis H. Moomaw
14826,"Cyrus Wood, Edmund Goulding"
14854,"Charles Major, Waldemar Young"
14869,"Gertrude Chase, Josephine Lovett"
14874,"Augustus Thomas, Frances Hodgson Burnett"
14898,Pierre Lestringuez
14900,"Frank Heller, Thea von Harbou"
14925,"Lajos Biró, Agnes Christine Johnston"
14945,"Sam Taylor, Ted Wilde"
14972,"Leonid Andreyev, Carey Wilson"
14982,Hanns Kräly
15002,"Sam Taylor, John Grey"
15014,"Pierre Dumarchais, Joris-Karl Huysmans"
15016,"Charles Kenyon, John Russell"
15018,"D.W. Griffith, Geoffrey Moss"
15022,"Paul Leicester Ford, Lillie Hayward"
15036,"Alexandre Dumas, Kenelm Foss"
15064,Carl Mayer
15116,"Frank Tuttle, Sidney R. Kent"
15119,"Paul Bern, Lothar Schmidt"
15136,"Herman Bang, Thea von Harbou"
15145,"Booth Tarkington, Booth Tarkington"
15163,"Clyde Bruckman, Joseph A. Mitchell"
15167,"Nikolay Aseev, Vsevolod Pudovkin"
15174,Thea von Harbou
15175,"Fritz Lang, Thea von Harbou"
15200,"Willis Goldbeck, Paul Morand"
15202,"Louis Nerz, Maurice Renard"
15213,"Aleksei Fajko, Fyodor Otsep"
15214,René Clair
15224,"J.M. Barrie, Willis Goldbeck"
15268,"Fred Niblo, Bess Meredyth"
15289,"George Eliot, Will M. Ritchey"
15310,"Rafael Sabatini, J.G. Hawks"
15312,"Rudolph Besier, May Edginton"
15324,"Jean C. Havez, Joseph A. Mitchell"
15361,"Grigoriy Aleksandrov, Sergei M. Eisenstein"
15400,"Lotta Woods, Douglas Fairbanks"
15493,"Alfred Hitchcock, Michael Morton"
15498,"Joseph Hergesheimer, King Vidor"
15500,"Rachel Crothers, Carey Wilson"
15518,"Charles Major, Luther Reed"
15532,
15624,"Laurence Stallings, Harry Behn"
15634,"Oscar Micheaux, Oscar Micheaux"
15643,"Elmer Harris, Mary O'Hara"
15648,Nina Agadzhanova
15684,"Kenneth B. Clarke, W. Somerset Maugham"
15687,Charles Logue
15693,"Martin Brown, Anthony Coldeway"
15758,"Kate Prichard, Hesketh Prichard"
15768,"Carl Theodor Dreyer, Svend Rindom"
15772,"Alexander Pushkin, George Marion Jr."
15794,"René Clair, Walter Schlee"
15801,"Marcel L'Herbier, Luigi Pirandello"
15841,"Sam Taylor, Ted Wilde"
15842,"Hugo Bettauer, F.H. Lyon"
15847,Ryunosuke Shimizu
15861,"Jacob Breda Bull, Carl Theodor Dreyer"
15863,"Buster Keaton, Lex Neal"
15864,Charles Chaplin
15872,"Rex Beach, Dwinelle Benthall"
15881,"June Mathis, Erich von Stroheim"
15883,"Frédéric Boutet, Jacques Feyder"
15909,"Ludwig Fulda, Hanns Kräly"
15935,"Pedro Sienna, Hugo Silva"
16004,"Oscar Wilde, Julien Josephson"
16005,"Adela Rogers St. Johns, Alice D.G. Miller"
16006,"Martin Brown, Frances Marion"
16013,"Owen Davis, Frances Marion"
16023,"Laurence Eyre, Joseph Farnham"
16028,"Mary Pickford, Hope Loring"
16029,"William M. Conselman, William M. Conselman"
16039,"Arthur Conan Doyle, Marion Fairfax"
16104,"Erich von Stroheim, Benjamin Glazer"
16123,"Roland West, Crane Wilbur"
16142,"Tod Browning, Waldemar Young"
16185,Rokuhei Susukita
16201,"F. Oakley Crawford, Lois Hutchinson"
16205,"Paul Armstrong, Keene Thompson"
16220,Gaston Leroux
16226,"Frederica Sagor Maas, Percy Marks"
16230,"Oliver Sandys, Eliot Stannard"
16232,"Jacques Feyder, Jules Renard"
16240,"Edwin Arnold, Niranjan Pal"
16241,"Adela Rogers St. Johns, Alice D.G. Miller"
16258,"Willard Mack, Robert E. Hopkins"
16276,"Adela Rogers St. Johns, Dorothy Arzner"
16288,"Zane Grey, Edfrid A. Bingham"
16294,"Beulah Marie Dix, Howard Hawks"
16308,"Dorothy Donnelly, Forrest Halsey"
16309,"Eddie Dowling, Edmund Goulding"
16310,Josef von Sternberg
16332,"Roi Cooper Megrue, Clyde Bruckman"
16338,"H. Rider Haggard, H. Rider Haggard"
16377,"Martin Brown, Josephine Lovett"
16392,"Hugo Bettauer, Ida Jenbach"
16394,"Frank R. Adams, Forrest Halsey"
16395,"Frances Marion, Olive Higgins Prouty"
16461,"Hal G. Evarts, C. Gardner Sullivan"
16473,"Clarence Aaron 'Tod' Robbins, Waldemar Young"
16480,"Ethel Doherty, Zane Grey"
16481,"Felix Hollaender, Ewald André Dupont"
16491,"Jacques Feyder, Françoise Rosay"
16493,René Clair
16544,"L. Frank Baum, Frank Joslyn Baum"
16545,"Bennett Cohen, Cliff Hill"
16548,"Pierre Collings, Carl Van Vechten"
16559,Valentin Turkin
16560,"Frances Marion, Salisbury Field"
16563,"Theodor Storm, Thea von Harbou"
16627,"Rafael Sabatini, Dorothy Farnum"
16629,"Avery Hopwood, Julien Josephson"
16630,"Paul Gerard Smith, Al Boasberg"
16634,"Herbert Brenon, John Russell"
16640,"Alexandre Chatrian, Emile Erckmann"
16643,"Bruce Bairnsfather, Arthur Eliot"
16646,"Joseph Farnham, Agnes Christine Johnston"
16654,"Douglas Fairbanks, Jack Cunningham"
16655,"Tod Browning, Joseph Farnham"
16664,"Gerald Beaumont, Gordon Rigby"
16669,"Frédérique De Grésac, Henri Murger"
16672,"George Scarborough, Annette Westbay"
16690,"Rida Johnson Young, Donald Ogden Stewart"
16691,"Rasmus Breistein, Kristofer Janson"
16762,"Edmund Goulding, Forrest Halsey"
16804,Bess Meredyth
16822,"Mervyn LeRoy, Frank Griffin"
16827,"Harry Chapman Ford, Elmer Harris"
16832,"Marc Connelly, Sam Taylor"
16847,"Gerhart Hauptmann, Hans Kyser"
16854,"Howard Hawks, Hope Loring"
16871,"James Ashmore Creelman, J. Clarkson Miller"
16884,"Benjamin Glazer, Hermann Sudermann"
16895,"Ted Wilde, John Grey"
16914,"Karl Abraham, Hans Neumann"
16939,"Paul Leicester Ford, John Stone"
16947,"Reggie Morris, Monte Brice"
16953,Arnold Fanck
16971,"Arthur Ripley, Frank Capra"
17004,"J.P. McEvoy, W.C. Fields"
17028,"William Anthony McGuire, Otto A. Harbach"
17029,"Hanns Kräly, André Picard"
17048,"Yasunari Kawabata, Yasunari Kawabata"
17075,"Marie Belloc Lowndes, Eliot Stannard"
17082,"George Abbott, John V.A. Weaver"
17096,"Riccardo Artuffo, Stefano Pittaluga"
17103,"W. Somerset Maugham, Rex Ingram"
17119,"Sinclair Lewis, Adelaide Heilbron"
17120,"Vicente Blasco Ibáñez, Willis Goldbeck"
17128,"Maxim Gorky, Nathan Zarkhi"
17136,"Thea von Harbou, Thea von Harbou"
17159,"Boris Barnet, Fyodor Otsep"
17184,"Edgar Franklin, Doris Schroeder"
17195,"Alexander Shirvanzade, Amo Bek-Nazaryan"
17196,"Pierre Lestringuez, Émile Zola"
17198,"J.W. McConaughty, Joseph Shearing"
17226,"Laurence Stallings, Harry Carr"
17271,"Lev Kuleshov, Jack London"
17293,"Umberto Notari, Yakov Protazanov"
17329,"Tod Browning, Joseph Farnham"
17338,"Louis Nerz, Robert Wiene"
17350,"Nathaniel Hawthorne, Frances Marion"
17354,"Herman Melville, Bess Meredyth"
17374,"Peter B. Kyne, Elizabeth Pickett"
17378,"Nikolay Gogol, Yuri Tynyanov"
17382,"George Kelly, Pierre Collings"
17409,"Henri Meilhac, Ludovic Halévy"
17410,"J. Clarkson Miller, Howard Emmett Rogers"
17416,"Edith Maude Hull, Frances Marion"
17419,"Marie Corelli, John Russell"
17423,"Winifred Dunn, George Marion Jr."
17437,"Arthur Ripley, Hal Conklin"
17438,"Hanns Heinz Ewers, Henrik Galeen"
17448,"Molière, Carl Mayer"
17449,"Vicente Blasco Ibáñez, Dorothy Farnum"
17463,"Herman Whitaker, John Stone"
17480,"Vicente Blasco Ibáñez, Dorothy Farnum"
17483,
17519,"Konrad Bercovici, Lenore J. Coffee"
17534,"Raymond L. Schrock, Joseph Farnham"
17540,"Maxwell Anderson, Malcolm Stuart Boylan"
17567,"Rupert Hughes, Frances Marion"
17619,"Richard Harding Davis, Clara Beranger"
17621,"Hanns Heinz Ewers, Henrik Galeen"
17632,"Marian Ainslee, Ruth Cummings"
17653,"Boris Altshuler, Olga Vishnevskaya"
17662,"Hall Caine, Rowland V. Lee"
17667,"Paul Bern, George Marion Jr."
17726,"Felix Fischer, Jacques Bachrach"
17735,"Jack Cunningham, Frederick William Wallace"
17736,"Norbert Falk, Ivan Mozzhukhin"
17739,"John Willard, Robert F. Hill"
17750,"Maurine Dallas Watkins, Lenore J. Coffee"
17751,"Owen Johnson, Adela Rogers St. Johns"
17765,"Carl Harbaugh, Bryan Foy"
17809,"Vadim Shershenevich, Valentin Turkin"
17825,"Constance Collier, Ivor Novello"
17832,"Katharine Brush, Winifred Dunn"
17843,"Noël Coward, Eliot Stannard"
17860,"George Ade, Joseph Farnham"
17886,"Darryl F. Zanuck, Anthony Coldeway"
17918,Douglas Fairbanks
17925,"Buster Keaton, Clyde Bruckman"
17928,"Agnes Brand Leahy, Hope Loring"
17938,"Jean Epstein, Paul Morand"
17961,Aleksandr Medvedkin
17998,"Stanley Houghton, Victor Saville"
18014,"Lajos Biró, Jules Furthman"
18016,"Doris Anderson, Ethel Doherty"
18033,"Elinor Glyn, Hope Loring"
18037,"Samson Raphaelson, Alfred A. Cohn"
18045,"Raymond Bernard, Henry Dupuis-Mazuel"
18051,"John Grey, Ted Wilde"
18054,Jeanie Macpherson
18066,Nathan Zarkhi
18087,"Ilja Ehrenburg, Rudolf Leonhardt"
18097,"Tod Browning, Waldemar Young"
18102,"Robert Eddy, Tay Garnett"
18107,"Leo Tolstoy, Marian Ainslee"
18113,"Max Marcin, Charles Guernon"
18138,"Alice D.G. Miller, Monta Bell"
18166,"Benjamin Christensen, Stig Esbern"
18179,"Maurice Vernon, Harold Owen"
18183,"Kathleen Norris, Allen McNeil"
18192,Abel Gance
18217,"Sergei M. Eisenstein, Grigoriy Aleksandrov"
18218,"Darryl F. Zanuck, Anthony Coldeway"
18235,"Carey Wilson, Carey Wilson"
18247,"Harry Carr, Benjamin Glazer"
18253,"Gerald C. Duffy, Winifred Dunn"
18268,"Sergey Komarov, Vadim Shershenevich"
18297,"Marian Ainslee, J.M. Barrie"
18311,"Frances Marion, Frances Marion"
18328,Alfred Hitchcock
18351,"Roy Briant, Gregory La Cava"
18362,David Starkman
18379,"Austin Strong, Benjamin Glazer"
18389,"Julien Josephson, John W. Krafft"
18392,"Anthony Asquith, J.O.C. Orton"
18397,"Waldemar Young, Charles Tenney Jackson"
18413,"Joseph Farnham, Andrew Percival Younger"
18440,"Frank Davis, Vincent Lawrence"
18451,"Karl Heinrich, Marian Ainslee"
18453,"Aleksandr Dovzhenko, Boris Shcharansky"
18455,"Carl Mayer, Hermann Sudermann"
18464,"Edgar Rice Burroughs, William E. Wing"
18471,"Richard Schayer, Joseph Farnham"
18484,"Robert Eddy, James Langdon"
18487,"Agnes Christine Johnston, Edward T. Lowe Jr."
18505,"Viktor Shklovskiy, Viktor Shklovskiy"
18513,"Joseph Farnham, William Anthony McGuire"
18515,"Wallace Smith, Cyril Gardner"
18523,"René Clair, Eugène Labiche"
18524,"Harriet Beecher Stowe, Walter Anthony"
18526,"Charles Furthman, Ben Hecht"
18528,"Tod Browning, Waldemar Young"
18530,"Randall Faye, Wallace Smith"
18566,Bess Meredyth
18578,"John Monk Saunders, Hope Loring"
18579,"Marian Ainslee, Josephine Chippo"
18588,"Max Brod, Ladislaus Vajda"
18600,"Shipu Wang, Hou Yao"
18615,"Franz Schulz, Adolf Lantz"
18618,"Ben Ames Williams, Ted Shane"
18678,"Daniel Carson Goodman, Gerrit J. Lloyd"
18684,"Benjamin Glazer, Jim Tully"
18722,"Frances Marion, George McManus"
18737,"Frank Wedekind, Ladislaus Vajda"
18742,"Clyde Bruckman, Lew Lipton"
18749,"Jacques Deval, Lucille Newmark"
18756,"Alfred Hitchcock, Walter C. Mycroft"
18770,"Edgar Allan Poe, Luis Buñuel"
18773,Charles Chaplin
18795,"John Colton, Frances Marion"
18826,"René Clair, Eugène Labiche"
18836,"John Colton, Dorothy Farnum"
18839,"Jules Furthman, John Monk Saunders"
18841,"Nikolay Erdman, Anatoli Marienhof"
18862,"Aleksandre Kazbegi, Nikoloz Shengelaia"
18876,"Eden Phillpotts, Eliot Stannard"
18879,"Pierre Frondaie, Philip Klein"
18882,"Nicholas T. Barrows, George Marion Jr."
18907,"Berthold Viertel, Herman Bang"
18908,"A.E.W. Mason, Hope Loring"
18909,"Philip Klein, I.A.R. Wylie"
18910,"George Abbott, George Abbott"
18927,"Hanns Kräly, Avery Hopwood"
18935,"Franz Höllering, Herbert Juttke"
18937,"Howard Hawks, James Kevin McGuinness"
18972,"Philip Klein, Marion Orth"
18990,"Leonhard Frank, Joe May"
